index,Rent,SurfaceArea,RoomsNumber,Address,RentPerArea,RentPerRoom,AreaPerRoom,ZipCode,City
205,3210.0,160.0,6.5,"Dennlerstr. 22, 8047 Zurich",20.0625,493.84615384615387,24.615384615384617,22,Zurich
206,3660.0,169.0,6.5,"Dennlerstr. 22, 8047 Zurich",21.65680473372781,563.0769230769231,26.0,22,Zurich
207,4390.0,160.0,5.0,"Bederstrasse 82, 8002 Zurich",27.4375,878.0,32.0,82,Zurich
208,11180.0,250.0,7.5,8053 Zurich,44.72,1490.6666666666667,33.333333333333336,,Zurich
210,4050.0,140.0,4.5,"Gustav Gull Platz 11, 8004 Zurich",28.928571428571427,900.0,31.11111111111111,11,Zurich
211,4840.0,146.0,5.0,"Weinbergstrasse 68, 8006 Zurich",33.15068493150685,968.0,29.2,68,Zurich
212,4000.0,144.0,4.5,"Rötelstrasse 6, 8006 Zurich",27.77777777777778,888.8888888888889,32.0,6,Zurich
213,3540.0,90.0,3.0,"Grubenackerstrasse 71, 8052 Zurich",39.333333333333336,1180.0,30.0,71,Zurich
214,6440.0,140.0,8.0,"Kinkelstrasse 40, 8006 Zurich",46.0,805.0,17.5,40,Zurich
215,6480.0,200.0,7.5,"Scheideggstrasse 59, 8002 Zurich",32.4,864.0,26.666666666666668,59,Zurich
216,7430.0,160.0,7.5,"Aemtlerstrasse 74, 8003 Zurich",46.4375,990.6666666666666,21.333333333333332,74,Zurich
217,4710.0,150.0,6.5,"Kalkbreitestr. 115, 8003 Zurich",31.4,724.6153846153846,23.076923076923077,115,Zurich
218,4360.0,136.0,5.0,"Werdstrasse 110, 8004 Zurich",32.05882352941177,872.0,27.2,110,Zurich
219,4390.0,107.0,4.5,"Untermoosstrasse 1A, 8047 Zurich",41.02803738317757,975.5555555555555,23.77777777777778,1A,Zurich
220,4130.0,117.0,4.5,8053 Zurich,35.2991452991453,917.7777777777778,26.0,,Zurich
