price,size,rooms,address
" CHF 4,340.– / month",134m² living space ,5 rooms ,"Werdstrasse 110, 8004 Zürich"
" CHF 4,380.– / month",105m² living space ,4.5 rooms ,"Untermoosstrasse 1A, 8047 Zürich"
" CHF 4,120.– / month",115m² living space ,4.5 rooms ,8053 Zürich
" CHF 7,090.– / month",,7.5 rooms ,"Zweierstrasse 160, 8003 Zürich"
" CHF 6,310.– / month",162m² living space ,5.5 rooms ,"Gotthardstrasse 53, 8002 Zürich"
" CHF 3,410.– / month",50m² living space ,3.5 rooms ,"Tramstrasse 24, 8050 Zürich"
" CHF 4,150.– / month",170m² living space ,5.5 rooms ,"Küngenmatt 5, 8055 Zürich"
 Price on request ,220m² living space ,7.5 rooms ,"Hagenholzstrasse, 8050 Zürich, 8050 Zürich"
" CHF 5,640.– / month",180m² living space ,5.5 rooms ,8049 Zürich
" CHF 5,690.– / month",170m² living space ,7.5 rooms ,"Neunbrunnenstrasse 53, 8050 Zürich"
" CHF 7,200.– / month",150m² living space ,5.5 rooms ,"Weinbergstrasse 112, 8006 Zürich"
" CHF 5,580.– / month",158m² living space ,5 rooms ,"Hufgasse 19, 8008 Zürich"
" CHF 6,310.– / month",140m² living space ,7.5 rooms ,"Letzigraben 106, 8047 Zürich"
" CHF 4,130.– / month",145m² living space ,5 rooms ,"Langstrasse 206, 8005 Zürich"
" CHF 3,970.– / month",166m² living space ,5.5 rooms ,"Riedhofstrasse 378, 8049 Zürich"
" CHF 5,600.– / month",160m² living space ,7.5 rooms ,"Frohburgstrasse 322, 8057 Zürich"
" CHF 4,950.– / month",149m² living space ,5.5 rooms ,"Mainaustrasse 49, 8008 Zürich"
" CHF 5,020.– / month",126m² living space ,3 rooms ,"Weinbergstrasse 46, 8006 Zürich"
" CHF 5,960.– / month",134m² living space ,5.5 rooms ,"Elisabethenstrasse 28, 8004 Zurich"
" CHF 17,370.– / month",550m² living space ,7.5 rooms ,"Bäckerstrasse 40, 8004 Zürich"
" CHF 5,430.– / month",143m² living space ,5.5 rooms ,"Bucheggstrasse 21, 8037 Zürich"
" CHF 7,410.– / month",180m² living space ,7.5 rooms ,"Wehntalerstrasse 571, 8046 Zürich"
" CHF 3,090.– / month",122m² living space ,5.5 rooms ,"Altstetterstrasse 288, 8047 Zürich"
" CHF 6,160.– / month",135m² living space ,4.5 rooms ,"Haspelstrasse 5, 8041 Zürich"
" CHF 9,050.– / month",187m² living space ,8 rooms ,"Clausiusstrasse 60, 8006 Zürich"
" CHF 9,280.– / month",150m² living space ,8 rooms ,"Clausiusstrasse 60, 8006 Zürich"
" CHF 5,340.– / month",,10.5 rooms ,"Frohalpstrasse 53, 8038 Zürich"
" CHF 5,010.– / month",137m² living space ,5.5 rooms ,"Forchstrasse 284, 8008 Zürich"
" CHF 5,520.– / month",109m² living space ,4.5 rooms ,"Rebgasse 8, 8004 Zürich"
" CHF 6,620.– / month",140m² living space ,7.5 rooms ,"Birmensdorferstrasse 280, 8055 Zürich"
" CHF 6,270.– / month",109m² living space ,3 rooms ,"Zweierstrasse 119, 8003 Zürich"
" CHF 4,770.– / month",61m² living space ,3.5 rooms ,"Zweierstrasse 119, 8003 Zurich"
" CHF 7,150.– / month",109m² living space ,3 rooms ,"Wolframplatz 1, 8045 Zurich"
" CHF 5,060.– / month",,63m² living space ,"Wolframplatz 1, 8045 Zurich"
" CHF 5,210.– / month",,56m² living space ,"Wolframplatz 1, 8045 Zurich"
" CHF 4,440.– / month",,50m² living space ,"Wolframplatz 1, 8045 Zurich"
" CHF 5,980.– / month",,86m² living space ,"Wolframplatz 1, 8045 Zurich"
" CHF 2,870.– / month",128m² living space ,4.5 rooms ,"Affolternstrasse 77, 8050 Zürich"
" CHF 3,350.– / month",164m² living space ,6 rooms ,"Grabenwies 23/25/27, 8057 Zürich"
" CHF 2,500.– / month",77m² living space ,3.5 rooms ,"Knüslistrasse 6, 8004 Zürich"
" CHF 4,170.– / month",78m² living space ,4.5 rooms ,"Berninastrasse 58, 8057 Zürich"
" CHF 3,240.– / month",105m² living space ,4.5 rooms ,"Breitenlooweg 10, 8047 Zürich"
" CHF 8,320.– / month",180m² living space ,8.5 rooms ,"Austrasse 52, 8045 Zürich"
" CHF 3,540.– / month",,5 rooms ,"Döltschiweg 43, 8055 Zürich"
" CHF 3,540.– / month",,4.5 rooms ,"Döltschiweg 31, 8055 Zürich"
" CHF 2,940.– / month",86m² living space ,3.5 rooms ,"Englischviertelstrasse 71, 8032 Zürich"
" CHF 6,930.– / month",140m² living space ,7.5 rooms ,"Austrasse 52, 8045 Zürich"
" CHF 6,690.– / month",170m² living space ,7.5 rooms ,"Forsterstrasse 67, 8044 Zürich"
" CHF 5,140.– / month",160m² living space ,5.5 rooms ,"Winzerhalde 103, 8049 Zürich"
" CHF 2,070.– / month",124m² living space ,4.5 rooms ,"Am Holbrig 12, 8049 Zürich"
" CHF 2,710.– / month",172m² living space ,5.5 rooms ,"Am Holbrig 15, 8049 Zürich"
" CHF 3,340.– / month",75m² living space ,4.5 rooms ,"Rautistrasse 10A, 8047 Zürich"
" CHF 4,500.– / month",164m² living space ,6 rooms ,"Schindlerstrasse 14, 8006 Zürich"
" CHF 4,880.– / month",145m² living space ,5 rooms ,"Seerosenstrasse 5, 8008 Zürich"
" CHF 2,380.– / month",44m² living space ,2 rooms ,"Aprikosenstrasse 5, 8051 Zürich"
" CHF 3,370.– / month",187m² living space ,7.5 rooms ,"Carl Spittelerstr. 59, 8053 Zürich"
" CHF 2,970.– / month",59m² living space ,3.5 rooms ,"Untermoosstrasse 1A, 8047 Zürich"
" CHF 5,560.– / month",124m² living space ,5.5 rooms ,"Untermoosstrasse 1A, 8047 Zürich"
" CHF 2,820.– / month",56m² living space ,3.5 rooms ,"Untermoosstrasse 1, 8047 Zürich"
